,ID,TOPONYME,geometry
0,BDCAEROD0000000017183202,aérodrome de cosne-sur-loire,"POLYGON ((2.921117139197635 47.357152187886484, 2.9204173820280745 47.357335355326015, 2.9190974483076406 47.35763061571502, 2.9179604492110713 47.35784317029932, 2.916981344895751 47.35789288715691, 2.9160828840983593 47.3580497799985, 2.9151481912563053 47.35849560944571, 2.914453078293302 47.359065837980054, 2.914018212701616 47.35926626560494, 2.9152111060318604 47.36060036419174, 2.9103049689323055 47.36227468545434, 2.910696034395529 47.36294024661418, 2.916100341079917 47.36128877543464, 2.9164460068595295 47.362222549251655, 2.918206838406541 47.36220399712409, 2.9196629632540256 47.362169904396886, 2.9206818636529976 47.362138196484516, 2.921954872067652 47.36229389560298, 2.923118281320552 47.36219744769969, 2.9233678458506147 47.35722211055435, 2.9220973810338817 47.3572194653428, 2.921117139197635 47.357152187886484))"
1,BDCAEROD0000000017183251,aérodrome de paray-le-monial,"POLYGON ((4.136658105500087 46.4630407689494, 4.133924430107506 46.4642539524812, 4.133682276362585 46.46401500844924, 4.132206238467406 46.46466813204863, 4.131878823333046 46.464213897629584, 4.129058068390994 46.46519458374405, 4.128957185164888 46.464476043395365, 4.1275188588265745 46.46588519240208, 4.127178560017682 46.467833730248266, 4.131311747300951 46.46835392615726, 4.134002681582546 46.470965857161254, 4.135476305563866 46.47062792805288, 4.137050154786855 46.46859595275087, 4.136084167337353 46.4673339870582, 4.137812175195705 46.46407572013785, 4.136658105500087 46.4630407689494))"
2,BDCAEROD0000000017183224,aérodrome de beaune-challanges,"POLYGON ((4.892417384674342 47.000563649210896, 4.890090304356953 47.0011376426943, 4.888656420299808 47.00143039719291, 4.887542055439518 47.00178815434928, 4.8918355855982005 47.00770591269843, 4.889798321439468 47.00803018115273, 4.890684970624594 47.009513348918624, 4.890293476545469 47.00957559826145, 4.89266440078556 47.014599884942115, 4.8964909412288895 47.014001224525295, 4.89623205984639 47.011316300484715, 4.89935923774398 47.01038229784018, 4.892417384674342 47.000563649210896))"
3,BDCAEROD0000000017183249,aérodrome de mâcon-charnay,"POLYGON ((4.794819533693073 46.28939045700893, 4.795505292587885 46.29108558971598, 4.793258369411062 46.29135067222158, 4.791984581349047 46.29391612163141, 4.792830076699876 46.29481613315002, 4.792480462141805 46.29540889720296, 4.7943743588016 46.295943819562105, 4.793807507789515 46.29950243710832, 4.7945782238267975 46.299584871356, 4.794377465812489 46.300912974849176, 4.795419313573148 46.300980323809526, 4.795681326632152 46.29957919581431, 4.7963073131905345 46.29964678649433, 4.796864383491599 46.29615135792697, 4.798632973228138 46.29650894620633, 4.79910504269433 46.2914214898819, 4.798204008015991 46.29132403212414, 4.797761040343415 46.290694223935674, 4.797610733655604 46.289401376501274, 4.794819533693073 46.28939045700893))"
4,BDCAEROD0000000017183223,aérodrome de nuits-saint-georges,"POLYGON ((4.974093356762702 47.13970956430987, 4.962333631680989 47.14333539405114, 4.9632156657851425 47.14464787647222, 4.966193129489801 47.143769693627554, 4.966391884410169 47.14404369284892, 4.968945601434231 47.143130311116614, 4.969478668742153 47.14377505627801, 4.971000648796343 47.14359694346436, 4.9714540256379385 47.14289307479531, 4.972072239081515 47.14232958621156, 4.972458670005524 47.14214108291158, 4.973014237856698 47.14188575331731, 4.974566785373921 47.14153506093125, 4.975278909241509 47.141266241349356, 4.974856923898626 47.14048453899965, 4.974528548371784 47.14049194457639, 4.974093356762702 47.13970956430987))"
5,BDCAEROD0000000017183221,aérodrome de champagnole-crotenay,"POLYGON ((5.81726951454422 46.75847475583569, 5.816503915502262 46.75880346875141, 5.81704126446982 46.760012011016386, 5.8172482023929435 46.76119441904134, 5.817526053554978 46.762050736443754, 5.817562169138267 46.76342743938502, 5.8176825170964355 46.764684048106936, 5.8180697919687026 46.76804959266761, 5.820555793853493 46.7675687232396, 5.823266541855251 46.766720984140775, 5.81726951454422 46.75847475583569))"
6,BDCAEROD0000000017183219,aérodrome de pontarlier,"POLYGON ((6.323137897496285 46.89875026316303, 6.322327246205168 46.89916566538959, 6.325276062973319 46.9120167487286, 6.331081486225923 46.91053506975028, 6.331255554485189 46.91022273685864, 6.325363676823169 46.899177132674296, 6.323137897496285 46.89875026316303))"
7,BDCAEROD0000000017183192,aérodrome de besançon-la vèze,"POLYGON ((6.0746647970302705 47.20076045895783, 6.073843616518477 47.20223640552306, 6.0731672994590395 47.20372651918763, 6.071812277200755 47.20513913023578, 6.07564977476716 47.20823026848791, 6.0755742475745524 47.20771872912075, 6.077563493028991 47.208194747448886, 6.0775212084279 47.206647125424695, 6.083282728992395 47.208351658031646, 6.0834289155961665 47.20778827012087, 6.088155206803681 47.20978680882635, 6.088505639996004 47.21063968436985, 6.089387763579866 47.21041344169066, 6.091968656253357 47.21197711404276, 6.093271733563896 47.211322457869315, 6.094473824886122 47.21075157094069, 6.079931098126535 47.203317985057154, 6.07989307602291 47.20276941074319, 6.0808343267553635 47.202630852552474, 6.07962772685206 47.201806133652994, 6.077697592092739 47.202174585229606, 6.0746647970302705 47.20076045895783))"
8,BDCAEROD0000000017183199,aérodrome de saulieu-liernais,"POLYGON ((4.263325412985101 47.23549558071955, 4.259531457893103 47.236344503250976, 4.258804216000926 47.23650726730051, 4.25951595008938 47.23720633287347, 4.259214177074979 47.237642692499, 4.263526813662312 47.239622518356455, 4.264732111175451 47.23949232684258, 4.265365326589276 47.239434095761105, 4.265636499364758 47.23966523384444, 4.26631540547319 47.24036821810704, 4.267269877392802 47.241206844683326, 4.267688689332342 47.24153090371201, 4.2681668280460565 47.24151126861408, 4.2695008266149195 47.241511075229724, 4.270206473222347 47.23981693848803, 4.270200536534027 47.23928578032134, 4.269101543080947 47.239214080902734, 4.263325412985101 47.23549558071955))"
9,BDCAEROD0000000017183196,aérodrome de dijon-darois,"POLYGON ((4.94497380697224 47.38062989882097, 4.9415076926836194 47.38563058253564, 4.9421827126457405 47.38614698704335, 4.942446050799087 47.38829202954637, 4.945923797780747 47.38824917453627, 4.946195186529044 47.38889477732787, 4.947269172373862 47.388929920535425, 4.9475776251010055 47.38942722079794, 4.950258084624338 47.388788867172984, 4.948311383501418 47.38477024788976, 4.945389350895896 47.37998810454713, 4.94497380697224 47.38062989882097))"
